Name,Team(s),G,AB,H,2B,3B,HR,BB,SB,AVG,OBP,SLG,BFW,G2,PO,A,E,DP,AVG3,Games,Played
Matt Wallner,MIN,A,75,220,57,17,1,13,24,3,0.259,0.372,0.523,1.9,57,109,4,0,1,1,"RF34,LF24,DH15,P1"
Hunter Goodman,COL,N,70,211,40,9,0,13,8,1,0.19,0.228,0.417,-1.6,33,53,1,2,0,0.964,"RF27,C23,DH11,LF7,1B4"
Ronald Acuna,ATL,N,49,192,48,8,1,4,27,16,0.25,0.351,0.365,0.3,48,98,2,2,0,0.98,RF48
Travis Jankowski,TEX,A,104,190,38,5,0,1,12,11,0.2,0.266,0.242,-1.3,69,82,1,3,0,0.965,"RF31,DH26,LF26,CF15"
Jhonkensy Noel,CLE,A,67,179,39,7,1,13,13,0,0.218,0.288,0.486,0.4,55,94,2,0,1,1,"RF54,1B9,DH2,LF1"
Edward Olivares,PIT,N,55,174,39,4,0,5,16,1,0.224,0.291,0.333,-0.7,45,76,2,1,0,0.987,"RF45,DH7,LF3"
Corey Julks,CHI,A,66,173,37,7,0,3,15,5,0.214,0.275,0.306,-1,55,80,1,1,1,0.988,"RF28,LF26,DH6,CF3"
Dominic Canzone,SEA,A,67,168,33,7,0,8,18,1,0.196,0.271,0.381,-0.4,61,100,0,0,0,1,"RF38,LF24,DH3"
Jordan Walker,STL,N,51,164,33,10,1,5,10,1,0.201,0.253,0.366,-1.2,48,64,2,1,1,0.985,"RF48,DH1"
DJ Stewart,NY,N,74,158,28,4,0,5,31,1,0.177,0.325,0.297,-0.4,36,45,2,0,1,1,"RF26,DH24,LF11,1B1"
Luis Matos,SF,N,45,150,32,5,0,5,5,0,0.213,0.237,0.347,-1.1,43,69,1,1,0,0.986,"RF21,CF19,LF7,DH1"
Dylan Crews,WAS,N,31,119,26,5,1,3,11,12,0.218,0.288,0.353,-0.3,31,66,1,0,0,1,"RF30,CF4"
Alex Call,WAS,N,30,99,34,9,0,3,12,5,0.343,0.425,0.525,1.3,30,73,2,2,2,0.974,"RF28,CF3,LF2"
Dane Myers,MIA,N,44,95,25,6,1,3,8,4,0.263,0.333,0.442,0.6,39,59,6,2,1,0.97,"RF22,CF12,LF9,DH1"
Sean Bouchard,COL,N,31,91,17,7,0,1,12,4,0.187,0.29,0.297,-0.6,30,50,2,3,0,0.945,"RF17,LF14,DH1"
Trey Cabbage,HOU,A,45,86,18,8,0,1,4,1,0.209,0.253,0.337,-0.8,39,31,1,0,0,1,"RF28,LF11,DH3"
Griffin Conine,MIA,N,30,82,22,4,1,3,6,0,0.268,0.326,0.451,0.2,25,41,4,1,2,0.978,"RF17,LF8,DH1"
Shohei Ohtani,LA,N,159,636,197,38,7,54,81,59,0.31,0.39,0.646,7.7,159,DH159,,,,,
Marcell Ozuna,ATL,N,162,606,183,31,0,39,74,1,0.302,0.378,0.546,3.6,162,DH162,,,,,
Kyle Schwarber,PHI,N,150,573,142,22,0,38,106,5,0.248,0.366,0.485,2.3,144,"DH144,OF5",,,,,
Yordan Alvarez,HOU,A,147,552,170,34,2,35,69,6,0.308,0.392,0.567,4.4,94,"DH94,OF53",,,,,
Alec Burleson,STL,N,152,547,147,20,0,21,35,9,0.269,0.314,0.42,-0.1,60,"OF75,DH60,1B15",,,,,
Brent Rooker,OAK,A,145,546,160,26,2,39,59,11,0.293,0.365,0.562,4.1,131,"DH131,OF14",,,,,
Charlie Blackmon,COL,N,124,449,115,24,5,12,43,6,0.256,0.329,0.412,-0.7,89,"DH89,OF26",,,,,
Andrew McCutchen,PIT,N,120,448,104,18,1,20,58,3,0.232,0.328,0.411,-0.3,113,"DH113,OF5",,,,,
J.D. Martinez,NY,N,120,434,102,24,1,16,49,0,0.235,0.32,0.406,-0.3,118,DH118,,,,,
G. Stanton,NY,A,114,417,97,20,0,27,38,0,0.233,0.298,0.475,0.3,109,DH109,,,,,
Masataka Yoshida,BOS,A,108,378,106,21,0,10,27,2,0.28,0.349,0.415,0.4,101,"DH101,OF1",,,,,
Mitch Garver,SEA,A,114,367,63,17,0,15,53,0,0.172,0.286,0.341,-1.1,83,"DH83,C25",,,,,
Joc Pederson,ARI,N,132,367,101,17,1,23,55,7,0.275,0.393,0.515,2.2,120,DH120,,,,,
David Fry,CLE,A,122,335,88,18,1,14,42,4,0.263,0.356,0.448,1,53,"DH53,C23,OF20,1B20,3B4",,,,,
Gary Sanchez,MIL,N,89,245,54,7,1,11,27,0,0.22,0.307,0.392,-0.7,47,"DH47,C28,1B4",,,,,
Willie Calhoun,ANA,A,68,229,56,16,0,5,23,0,0.245,0.315,0.38,-0.3,61,"DH61,1B4,OF1",,,,,
Nelson Velazquez,KC,A,64,205,41,8,1,8,19,2,0.2,0.274,0.366,-0.9,41,"DH41,OF20",,,,,
J. Malloy,DET,A,71,202,41,7,1,8,23,1,0.203,0.291,0.366,-0.8,46,"DH46,OF23",,,,,
Nick Martini,CIN,N,52,146,31,4,2,5,9,1,0.212,0.272,0.37,-0.7,31,"DH31,OF16",,,,,
Kyle Manzardo,CLE,A,53,145,34,12,0,5,9,0,0.234,0.282,0.421,-0.3,41,"DH41,1B6",,,,,
Matt Carpenter,STL,N,59,137,32,7,0,4,15,0,0.234,0.314,0.372,-0.4,40,"DH40,1B5,2B1,3B1",,,,,
Kris Bryant,COL,N,37,133,29,5,0,2,13,0,0.218,0.323,0.301,-0.9,15,"DH15,OF12,1B10",,,,,
Andres Chaparro,WAS,N,33,121,26,12,0,4,7,1,0.215,0.28,0.413,-0.2,21,"DH21,1B12",,,,,
J. Encarnacion,SF,N,35,113,28,5,0,5,5,1,0.248,0.277,0.425,-0.4,16,"OF17,DH16,1B2",,,,,
Heston Kjerstad,BAL,A,39,99,25,2,0,4,10,1,0.253,0.351,0.394,0.2,13,"OF19,DH13",,,,,
Niko Kavadas,ANA,A,30,93,17,2,0,4,11,1,0.183,0.283,0.333,-0.5,23,"DH23,1B5",,,,,
Logan Gilbert,SEA,A,33,33,1,0,208.2,148,83,37,220,3.23,1,33,26,9,3,0,0.921,P33,
Seth Lugo,KC,A,33,33,1,0,206.2,177,75,48,181,3,3.3,33,14,29,0,3,1,P33,
Logan Webb,SF,N,33,33,1,0,204.2,202,83,50,172,3.47,1.5,33,15,33,2,5,0.96,P33,
Zack Wheeler,PHI,N,32,32,0,0,200,139,62,52,224,2.57,3.9,32,21,17,0,1,1,P32,
Aaron Nola,PHI,N,33,33,1,0,199.1,189,84,50,197,3.57,1.4,33,12,16,0,2,1,P33,
Corbin Burnes,BAL,A,32,32,0,0,194.1,165,76,48,181,2.92,2.2,32,15,17,4,0,0.889,P32,
Jose Berrios,TOR,A,32,32,1,0,192.1,168,79,54,153,3.6,1.5,32,12,18,2,1,0.938,P32,
Tarik Skubal,DET,A,31,31,0,0,192,142,54,35,228,2.39,4.2,31,7,19,3,2,0.897,P31,
George Kirby,SEA,A,33,33,0,0,191,181,82,23,179,3.53,0.4,33,11,9,1,1,0.952,P33,
Dylan Cease,SD,N,33,33,1,0,189.1,137,80,65,224,3.47,1.5,33,10,17,0,0,1,P33,
Jake Irvin,WAS,N,33,33,0,0,187.2,173,97,52,156,4.41,-0.1,33,17,28,2,1,0.957,P33,
Cole Ragans,KC,A,32,32,1,0,186.1,146,71,67,223,3.14,2.2,32,7,19,0,1,1,P32,
Pablo Lopez,MIN,A,32,32,0,0,185.1,180,90,41,198,4.08,-0.1,32,11,13,1,1,0.96,P32,
Kutter Crawford,BOS,A,33,33,0,0,183.2,155,97,51,175,4.36,-0.2,33,18,8,0,1,1,P33,
Luis Severino,NY,N,31,31,1,0,182,166,86,60,161,3.91,0.4,31,9,30,5,2,0.886,P31,
Sean Manaea,NY,N,32,32,0,0,181.2,134,75,63,184,3.47,1.1,32,3,17,2,0,0.909,P32,
Brandon Pfaadt,ARI,N,32,32,0,0,181.2,183,103,42,185,4.71,-1.2,32,7,11,1,0,0.947,P32,
C. Sanchez,PHI,N,31,31,2,0,181.2,182,76,44,153,3.32,1.7,31,6,28,5,0,0.872,P31,
Kevin Gausman,TOR,A,31,31,2,0,181,165,86,56,162,3.83,0.3,31,7,9,1,0,0.941,P31,
JP Sears,OAK,A,32,32,0,0,180.2,172,93,49,137,4.38,-1,32,3,17,1,2,0.952,P32,
Bryce Miller,SEA,A,31,31,0,0,180.1,131,62,45,171,2.94,1.8,31,11,11,1,0,0.957,P31,
Brady Singer,KC,A,32,32,0,0,179.2,175,77,54,170,3.71,1.3,32,14,19,1,0,0.971,P32,
Tyler Anderson,ANA,A,31,31,0,0,179.1,158,83,73,142,3.81,0.6,31,15,9,1,1,0.96,P31,
Tanner Houck,BOS,A,30,30,1,0,178.2,156,75,48,154,3.12,2,30,32,19,0,2,1,P30,
Bailey Ober,MIN,A,31,31,1,0,178.2,136,81,43,191,3.98,0.4,31,11,17,1,0,0.966,P31,
Mitch Keller,PIT,N,31,31,1,0,178,182,90,50,166,4.25,0.3,31,10,21,0,3,1,P31,
Chris Sale,ATL,N,29,29,0,0,177.2,141,48,39,225,2.38,4.2,29,9,22,0,1,1,P29,
Framber Valdez,HOU,A,28,28,1,0,176.1,140,60,55,169,2.91,2.7,28,2,16,1,3,0.947,P28,
Luis Castillo,SEA,A,30,30,0,0,175.1,158,73,47,175,3.64,0.3,30,6,5,1,1,0.917,P30,
Carlos Rodon,NY,A,32,32,0,0,175,157,81,57,195,3.96,0.4,32,4,10,0,0,1,P32,
Patrick Corbin,WAS,N,32,32,0,0,174.2,208,114,54,139,5.62,-2.2,32,3,22,0,1,1,P32,
Nestor Cortes,NY,A,31,30,0,0,174.1,162,74,39,162,3.77,0.8,31,5,10,0,1,1,P31,
Max Fried,ATL,N,29,29,2,0,174.1,146,71,57,166,3.25,1.8,29,10,17,0,0,1,P29,
